writer_id,quality_label,suspect_device,number_of_surveys,number_of_sensors,number_of_gyro_records,number_of_accelerometer_records,days_in_study,build_version,device_model
5ef7b06b-5665-4144-bc5b-c663bb7567d7,intermittent,FALSE,15,1290,172,174,19,2.7.5-WASH-Mar2020,"iPhone9,4"
8188be2e-3aec-4228-9903-c10a0aaa2c6b,limited-sensors,FALSE,153,16,0,0,83,2.7.5-WASH-Mar2020,"iPhone11,8"
c6a502a7-ad92-41d8-bebe-8e7bb6d99022,intermittent,FALSE,25,636,83,82,14,2.7.5-WASH-Mar2020,"iPhone11,8"
33c49de8-9118-4dff-972e-bfd488ebfc17,intermittent,FALSE,164,609,78,80,83,2.7.5-WASH-Mar2020,"iPhone10,1"
b994ee3a-f0d1-4cd6-a9b1-4d02814acdaa,sparse,FALSE,0,246,10,10,3,1.6.7-beta,LM-X210(G)
136b63d0-a427-4250-a634-22b68e9392b0,committed,FALSE,122,7898,444,464,86,1.6.7-beta,moto x4
33c7d3c0-6c94-4aaf-864e-84403eb6e353,committed,FALSE,102,12584,616,616,85,1.6.7-beta,Pixel 3 XL
fd497f93-cb5c-4d0d-9083-f02893a1e1db,committed,FALSE,73,5575,241,245,86,1.6.7-beta,Pixel 3
058ceb6f-6914-4376-89b6-e27d0a25c56d,sparse,FALSE,1,36,4,5,6,2.7.5-WASH-Mar2020,"iPhone11,8"
9f9dbe8f-fd0e-49bb-a99b-d9f94feb70f4,active,FALSE,164,1443,195,186,91,2.7.5-WASH-Mar2020,"iPhone10,1"
47be2746-05c3-4706-acfb-951e25d5660f,sparse,FALSE,0,25,0,5,21,1.6.7-beta,SM-J710MN
007bd709-0517-4498-a1db-6a3656ddab44,intermittent,FALSE,17,51789,2641,2767,91,1.6.7-beta,LGMP450
66d86e2f-de48-4f87-bde5-bccf8bc6e107,active,FALSE,141,1825,223,223,83,2.7.5-WASH-Mar2020,"iPhone9,2"
47ea4b51-a0ae-47b8-ad1f-a008db76a2c8,intermittent,FALSE,47,1893,79,79,30,1.6.7-beta,SM-N960U
c7e875fc-8859-4672-b0aa-37f7299cbc01,sparse,FALSE,0,198,0,21,1,1.6.7-beta,VS500PP
fd3ad5ca-49d4-42c9-992d-825ae5fe51bf,limited-surveys,FALSE,4,7494,0,792,47,1.6.7-beta,VS500PP
6bd29268-2c69-4119-82f6-451825ddc2a6,intermittent,FALSE,26,762,38,37,20,1.6.7-beta,SM-G960U
504c0076-dd1f-401c-8f02-9eacc0d783f8,committed,FALSE,94,18071,958,958,89,1.6.7-beta,SM-G930V
ce19da19-d8dc-41fe-a308-e3d0a39c7808,sparse,FALSE,1,219,11,11,2,1.6.7-beta,SM-G930U
8a82be32-d73f-4603-95e0-48cbadfd725a,limited-surveys,FALSE,9,574,28,28,8,1.6.7-beta,SM-G988U
85065345-76f9-4b96-aca1-62a32d2b283b,intermittent,FALSE,39,1491,65,65,44,1.6.7-beta,SM-G988U
bdf4427a-c5fb-41e6-a112-88f67e6520be,limited-surveys,FALSE,14,931,92,91,37,1.6.7-beta,VS990
d5eff458-1068-441b-9a18-697cb444a72b,active,FALSE,41,2695,116,116,25,1.6.7-beta,SM-N960U
964cce8a-3519-4e9e-b6b1-a8c884d72e61,limited-surveys,FALSE,13,1848,119,119,46,1.6.7-beta,SM-G935V
2422a6cb-b8eb-4fe5-adc9-942a1827ba4f,active,FALSE,155,1277,144,147,84,2.7.5-WASH-Mar2020,"iPhone11,8"
e2b58025-db86-4c33-8ef6-5f06b9be5178,intermittent,FALSE,51,375,53,55,36,2.7.5-WASH-Mar2020,"iPhone7,2"
fee48c99-afef-435b-a9f3-147693e62b35,intermittent,FALSE,88,430,48,51,48,2.7.5-WASH-Mar2020,"iPhone12,1"
45cc158e-4599-46ac-9cd9-39973ff3af36,intermittent,FALSE,19,2012,72,73,12,1.6.7-beta,Pixel 4 XL
80ea07aa-46c4-4b8b-9d39-36132bc68287,committed,FALSE,123,21267,812,815,88,1.6.7-beta,SM-G955U
ef78acd3-e75f-49f4-aa4d-82757804e4e1,committed,FALSE,141,10146,504,509,86,1.6.7-beta,SM-G960U
b05e70aa-680d-44d8-9384-c920fe48b86b,active,FALSE,82,3629,547,542,49,2.7.5-WASH-Mar2020,"iPhone9,2"
f3a5066a-caed-4eff-8005-352ceba6a2c9,active,FALSE,51,1617,196,197,43,2.7.5-WASH-Mar2020,"iPhone11,6"
160c20d2-d472-440a-9fff-a1dccf0663e9,intermittent,FALSE,124,318,43,42,83,2.7.5-WASH-Mar2020,"iPhone11,2"
84949ece-0909-42ef-b864-d1dd116abf12,active,FALSE,99,4645,212,212,86,1.6.7-beta,SM-N960U
0f6faeeb-3c24-4044-a7da-3c56f4e2d283,intermittent,FALSE,67,476,98,95,41,2.7.5-WASH-Mar2020,"iPhone7,2"
327dd9d1-2750-4fb8-8e8d-7a28643d81b1,committed,FALSE,51,7303,392,390,232,1.6.7-beta,G9 PRO
e25f29c0-c0b5-489d-8c58-59d115ef92b6,committed,FALSE,78,5487,210,219,88,1.6.7-beta,LM-Q710.FG
c4f8e62d-1390-4001-961a-41e72cf651ee,few sensors,FALSE,51,9,0,0,65,2.7.5-WASH-Mar2020,"iPhone8,1"
ae12a308-5ba3-48a4-a698-31578c3e888d,committed,FALSE,140,17434,760,759,88,1.6.7-beta,SM-N975U
e00ce708-f715-402f-af9d-b5e260bc68fb,sparse,FALSE,3,89,10,10,27,2.7.5-WASH-Mar2020,"iPhone11,6"
f9d77b8e-185c-497a-b77a-bb7d7abcd1e9,few sensors,FALSE,6,1,0,0,8,2.7.5-WASH-Mar2020,"iPhone11,6"
8a5049bb-51b8-429a-bc25-776df55c4fc7,committed,FALSE,138,12382,511,509,85,1.6.7-beta,SM-G930U
6f2ca4b4-5f42-4875-813e-7af151c1119e,limited-sensors,FALSE,130,173,24,22,83,2.7.5-WASH-Mar2020,"iPhone7,1"
9ab8a220-8c1e-41cd-9b01-f158307a2535,active,FALSE,147,1788,248,241,84,2.7.5-WASH-Mar2020,"iPhone11,8"
63dd8e10-e6d7-4bd0-b5c9-a1ae775fb51d,sparse,FALSE,1,101,12,12,2,2.7.5-WASH-Mar2020,"iPhone9,1"
6d474128-9aec-433d-8f4b-fe8f43821973,intermittent,FALSE,28,1678,69,69,89,1.6.7-beta,SM-G975U1
0667ca10-a3e0-4310-af52-8a929041cea3,committed,FALSE,71,5451,245,245,89,1.6.7-beta,VS988
4db31752-6535-45d9-9c9f-c966f86350aa,committed,FALSE,127,14694,568,577,85,1.6.7-beta,moto g(7)
4de7aea9-53c1-4cd2-98ea-3f36bab148d0,limited-surveys,FALSE,2,1484,83,84,10,1.6.7-beta,LGL84VL
91321702-64e3-4f35-ae8d-816bcb1d3a5e,limited-surveys,FALSE,12,1210,77,78,43,1.7.1,SM-S767VL
499d5af8-0fd8-43d6-b621-2c1b4d0fc96e,limited-sensors,FALSE,83,40,4,4,47,2.7.5-WASH-Mar2020,"iPhone10,1"
e25ee7b7-a4b5-4c26-be94-5f808fb4f0f6,active,FALSE,60,1174,158,158,48,2.7.5-WASH-Mar2020,"iPhone10,6"
b6d6c039-4361-4067-a6fe-6f4174f07b0c,limited-surveys,FALSE,28,206,28,27,39,2.7.5-WASH-Mar2020,"iPhone11,8"
111c4657-5114-4f93-9aba-0532116f55a9,intermittent,TRUE,31,1656,120,123,47,1.6.7-beta,6c64f544b4b594ad
49284855-b5b4-4e82-a65a-a4c5ab273b09,intermittent,TRUE,29,2022,146,149,47,1.6.7-beta,5e77b3f8d323b6ce
3bb5b943-98d8-481f-a472-a2ef38f54db2,limited-surveys,FALSE,75,956,0,220,85,1.6.7-beta,SM-S102DL
82c62f2b-01dc-463e-ad11-264df6234600,limited-surveys,FALSE,7,384,56,55,21,2.7.5-WASH-Mar2020,"iPhone10,3"
95d98f0e-d3d2-4f87-90f0-733a2e16f85f,limited-sensors,FALSE,74,115,14,16,58,2.7.5-WASH-Mar2020,"iPhone10,4"
5d597fae-f2bf-4b46-bd6b-c41a8a04de86,limited-sensors,FALSE,7,134,18,18,22,2.7.5-WASH-Mar2020,"iPhone11,8"
f6194aeb-0d60-474b-a4ae-c8fff491699f,limited-sensors,FALSE,30,48,5,6,16,2.7.5-WASH-Mar2020,"iPhone9,2"
fea83922-c42a-4598-8f71-2277719576f1,active,FALSE,69,4640,211,218,106,1.6.7-beta,moto g(7)
3462aa87-550a-43bb-ae85-29f22a27c511,limited-surveys,FALSE,3,541,34,38,22,1.6.7-beta,SM-N920P
271c6376-b0ab-4451-a0bf-26708e6a821a,intermittent,FALSE,145,366,47,43,82,2.7.5-WASH-Mar2020,"iPhone10,4"
d2ef5008-c3d8-4138-ac75-468ca893b5e2,intermittent,FALSE,81,815,103,101,75,2.7.5-WASH-Mar2020,"iPhone10,2"
82807fba-1321-4e30-9af8-9a350292e287,limited-surveys,FALSE,5,13779,0,1054,30,1.6.7-beta,LGMS210
af6a5291-1a33-4a51-a68f-92e9e0858da1,active,FALSE,93,1686,193,205,84,2.7.5-WASH-Mar2020,"iPhone10,1"
2a33b3f1-fe06-47f9-9711-28a87f49a1b9,limited-sensors,FALSE,103,34,4,3,84,2.7.5-WASH-Mar2020,"iPhone11,8"
71d487a3-ddfe-401f-9227-08dbeb3cf979,limited-surveys,FALSE,99,1992,0,500,86,1.6.7-beta,5059Z
9019af18-eb47-4213-a689-41113cbb5020,sparse,FALSE,0,76,3,3,0,1.6.7-beta,Pixel 3 XL
12a3e6b4-4c38-4fc5-bb43-926bb1087cdd,limited-surveys,FALSE,5,873,0,111,64,1.6.7-beta,Moto E (4)
1892584a-d3e4-47ec-8d58-9c272e47068f,limited-surveys,FALSE,3,1040,60,60,9,1.6.7-beta,SM-G920T
6129088e-324c-40e4-9321-aba929167ef4,limited-surveys,FALSE,11,1607,73,73,38,1.6.7-beta,SM-G960U1
b7afa280-9fd4-410c-af56-608e4e827b42,sparse,FALSE,0,216,39,39,1,2.7.5-WASH-Mar2020,"iPhone12,5"
5d52b8e5-353f-4570-9c37-582b5156245f,limited-sensors,FALSE,131,32,2,4,84,2.7.5-WASH-Mar2020,"iPhone8,1"
